delta_id,candidate_id,nsn,candidate_mpn,requirement_name,required_value,candidate_value,verdict,scored,gate_type,operator,uom,required_value_display,candidate_value_display,requirement_class,source,source_spec_id
5935-00-105-4641__D38999/20GF30HE__qualification,5935-00-105-4641__D38999/20GF30HE,5935-00-105-4641,D38999/20GF30HE,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HE__thermal_shock_cycles,5935-00-105-4641__D38999/20GF30HE,5935-00-105-4641,D38999/20GF30HE,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HE__vibration_grms,5935-00-105-4641__D38999/20GF30HE,5935-00-105-4641,D38999/20GF30HE,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HE__dpa_sample_required,5935-00-105-4641__D38999/20GF30HE,5935-00-105-4641,D38999/20GF30HE,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HE__lot_traceability,5935-00-105-4641__D38999/20GF30HE,5935-00-105-4641,D38999/20GF30HE,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__contact_count,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30HN__contact_plating,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30HN__contact_resistance,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__dielectric_withstanding_voltage,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30HN__insulation_resistance,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__shell_material,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,shell_material,ALUMINUMALLOY,,unknown,true,soft,eq,,== ALUMINUMALLOY,,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30HN__shell_size,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30HN__operating_temp_max,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__operating_temp_min,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
5935-00-105-4641__D38999/20GF30HN__coupling_type,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,coupling_type,BAYONET,,unknown,true,hard,eq,,== BAYONET,,mechanical,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__humidity_resistance,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__qualification,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__thermal_shock_cycles,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__vibration_grms,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__dpa_sample_required,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30HN__lot_traceability,5935-00-105-4641__D38999/20GF30HN,5935-00-105-4641,D38999/20GF30HN,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__contact_count,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JA__contact_plating,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JA__contact_resistance,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__dielectric_withstanding_voltage,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JA__insulation_resistance,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__shell_material,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,shell_material,ALUMINUMALLOY,,unknown,true,soft,eq,,== ALUMINUMALLOY,,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JA__shell_size,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JA__operating_temp_max,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__operating_temp_min,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
5935-00-105-4641__D38999/20GF30JA__coupling_type,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,coupling_type,BAYONET,,unknown,true,hard,eq,,== BAYONET,,mechanical,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__humidity_resistance,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__qualification,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__thermal_shock_cycles,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__vibration_grms,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__dpa_sample_required,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JA__lot_traceability,5935-00-105-4641__D38999/20GF30JA,5935-00-105-4641,D38999/20GF30JA,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__contact_count,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JB__contact_plating,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JB__contact_resistance,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__dielectric_withstanding_voltage,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JB__insulation_resistance,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__shell_material,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,shell_material,ALUMINUMALLOY,,unknown,true,soft,eq,,== ALUMINUMALLOY,,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JB__shell_size,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/20GF30JB__operating_temp_max,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__operating_temp_min,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
5935-00-105-4641__D38999/20GF30JB__coupling_type,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,coupling_type,BAYONET,,unknown,true,hard,eq,,== BAYONET,,mechanical,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__humidity_resistance,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__qualification,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__thermal_shock_cycles,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__vibration_grms,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__dpa_sample_required,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/20GF30JB__lot_traceability,5935-00-105-4641__D38999/20GF30JB,5935-00-105-4641,D38999/20GF30JB,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__contact_count,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF30HE__contact_plating,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF30HE__contact_resistance,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__dielectric_withstanding_voltage,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF30HE__insulation_resistance,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__shell_material,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,shell_material,ALUMINUMALLOY,ALUMINUM,marginal,true,soft,eq,,== ALUMINUMALLOY,ALUMINUM,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF30HE__shell_size,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF30HE__operating_temp_max,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__operating_temp_min,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
5935-00-105-4641__D38999/24TF30HE__coupling_type,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,coupling_type,BAYONET,,unknown,true,hard,eq,,== BAYONET,,mechanical,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__humidity_resistance,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__qualification,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__thermal_shock_cycles,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__vibration_grms,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__dpa_sample_required,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF30HE__lot_traceability,5935-00-105-4641__D38999/24TF30HE,5935-00-105-4641,D38999/24TF30HE,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__contact_count,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF45PC__contact_plating,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF45PC__contact_resistance,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__dielectric_withstanding_voltage,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF45PC__insulation_resistance,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__shell_material,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,shell_material,ALUMINUMALLOY,ALUMINUM,marginal,true,soft,eq,,== ALUMINUMALLOY,ALUMINUM,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF45PC__shell_size,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24TF45PC__operating_temp_max,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__operating_temp_min,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
5935-00-105-4641__D38999/24TF45PC__coupling_type,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,coupling_type,BAYONET,,unknown,true,hard,eq,,== BAYONET,,mechanical,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__humidity_resistance,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__qualification,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__thermal_shock_cycles,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__vibration_grms,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__dpa_sample_required,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24TF45PC__lot_traceability,5935-00-105-4641__D38999/24TF45PC,5935-00-105-4641,D38999/24TF45PC,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__contact_count,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JA__contact_plating,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JA__contact_resistance,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__dielectric_withstanding_voltage,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JA__insulation_resistance,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__shell_material,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,shell_material,ALUMINUMALLOY,,unknown,true,soft,eq,,== ALUMINUMALLOY,,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JA__shell_size,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JA__operating_temp_max,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__operating_temp_min,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
5935-00-105-4641__D38999/24WF32JA__coupling_type,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,coupling_type,BAYONET,,unknown,true,hard,eq,,== BAYONET,,mechanical,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__humidity_resistance,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,humidity_resistance,true,,unknown,false,burden,boolean,,is true,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__qualification,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,qualification,true,NOT_QPL_LISTED,unknown,false,burden,boolean,,is true,not QPL-listed,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__thermal_shock_cycles,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,thermal_shock_cycles,25,,unknown,false,burden,gte,,>= 25,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__vibration_grms,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,vibration_grms,10,,unknown,false,burden,gte,,>= 10,,qualification,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__dpa_sample_required,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,dpa_sample_required,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JA__lot_traceability,5935-00-105-4641__D38999/24WF32JA,5935-00-105-4641,D38999/24WF32JA,lot_traceability,true,,unknown,false,burden,boolean,,is true,,traceability,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JC__contact_count,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,contact_count,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JC__contact_plating,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,contact_plating,GOLDOVERNICKEL,GOLD,marginal,true,soft,eq,,== GOLDOVERNICKEL,GOLD,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JC__contact_resistance,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,contact_resistance,0.0014,,unknown,true,soft,lte,ohm,<= 0.0014 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JC__dielectric_withstanding_voltage,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,dielectric_withstanding_voltage,2300,,unknown,true,hard,gte,V,>= 2300 V,,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JC__insulation_resistance,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,insulation_resistance,5000000000,,unknown,true,soft,gte,ohm,>= 5e+09 ohm,,electrical,manual_override,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JC__shell_material,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,shell_material,ALUMINUMALLOY,,unknown,true,soft,eq,,== ALUMINUMALLOY,,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JC__shell_size,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,shell_size,19,19,pass,true,hard,eq,,== 19,19,electrical,publog_characteristics,
5935-00-105-4641__D38999/24WF32JC__operating_temp_max,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,operating_temp_max,125,200,pass,true,hard,gte,degC,>= 125 degC,200 degC,environmental,spec_extraction,MIL-DTL-38999
5935-00-105-4641__D38999/24WF32JC__operating_temp_min,5935-00-105-4641__D38999/24WF32JC,5935-00-105-4641,D38999/24WF32JC,operating_temp_min,-55,-65,pass,true,hard,lte,degC,<= -55 degC,-65 degC,environmental,publog_characteristics,
